Perimetre,Nature,Date,Heures,Consommation,Prevision J-1,Prevision J,Fioul,Charbon,Gaz,Nucleaire,Eolien,Solaire,Hydraulique,Pompage,Bioenergies,Ech. physiques,Taux de Co2,Ech. comm. Angleterre,Ech. comm. Espagne,Ech. comm. Italie,Ech. comm. Suisse,Ech. comm. Allemagne-Belgique,Fioul - TAC,Fioul - Cogen.,Fioul - Autres,Gaz - TAC,Gaz - Cogen.,Gaz - CCG,Gaz - Autres,Hydraulique - Fil de l?eau + eclusee,Hydraulique - Lacs,Hydraulique - STEP turbinage,Bioenergies - Dechets,Bioenergies - Biomasse,Bioenergies - Biogaz,Stockage batterie,Destockage batterie,Eolien terrestre,Eolien offshore,Consommation corrigee
France,Donnees temps reel,2025-07-01,00:00,47961,48100,48400,68,0,4091,36897,1613,0,6123,-36,1060,-1816,47,490,-350,-2377,694,-720,0,70,0,31,389,3671,0,3342,1530,1251,371,385,304,-38,0,1344,269,ND
France,Donnees temps reel,2025-07-01,00:15,47649,46900,47250,69,0,4116,36973,1553,0,6937,-70,1057,-2980,46,490,-350,-2991,694,-822,0,70,0,0,338,3778,0,3290,1936,1711,371,382,304,-7,1,1288,265,ND
France,Donnees temps reel,2025-07-01,00:30,45884,45700,46100,69,0,3943,36937,1563,0,5872,-79,1053,-3467,46,490,-350,-3423,711,-931,0,70,0,0,340,3604,0,3327,1723,822,369,381,304,-8,0,1234,329,ND
France,Donnees temps reel,2025-07-01,00:45,44650,44550,45100,69,0,3607,36877,1604,0,5233,-78,1063,-3714,44,490,-350,-3423,711,-1079,0,70,0,0,340,3268,0,3230,1542,461,373,386,304,-10,0,1267,337,ND
France,Donnees temps reel,2025-07-01,01:00,43879,43400,44100,69,0,3661,36854,1546,0,5415,-83,1059,-4629,44,849,-350,-3423,-448,-2041,0,70,0,0,339,3323,0,3221,1660,534,368,388,304,-13,0,1233,312,ND
France,Donnees temps reel,2025-07-01,01:15,43883,43400,44150,69,0,4098,36870,1497,0,6093,-83,1069,-5748,47,849,-350,-3423,-448,-2028,0,70,0,0,341,3758,0,3258,1701,1134,382,383,304,0,19,1224,273,ND
France,Donnees temps reel,2025-07-01,01:30,43255,43400,44200,69,0,3949,36834,1433,0,5552,-82,1072,-5583,46,849,-350,-3403,-428,-2007,0,70,0,0,339,3611,0,3232,1530,791,385,383,304,0,13,1154,279,ND
France,Donnees temps reel,2025-07-01,01:45,42993,43150,44050,69,0,3804,36832,1359,0,5549,-49,1069,-5646,45,849,-350,-3423,-428,-2069,0,70,0,0,340,3465,0,3217,1453,880,385,380,304,-8,13,1120,240,ND
France,Donnees temps reel,2025-07-01,02:00,42351,42900,43900,69,0,3535,36739,1305,0,5368,-49,1072,-5702,43,940,-350,-3253,-1257,-1643,0,70,0,0,340,3196,0,3227,1289,852,385,383,304,-2,17,1083,222,ND
France,Donnees temps reel,2025-07-01,02:15,42599,42250,43050,69,0,3669,36787,1242,0,5500,-49,1072,-5692,44,940,-350,-3423,-1257,-1769,0,70,0,0,340,3330,0,3236,1504,760,387,381,304,-4,6,1055,187,ND
France,Donnees temps reel,2025-07-01,02:30,41868,41600,42200,69,0,3474,36789,1244,0,5117,-57,1072,-5834,43,940,-350,-3423,-1257,-1774,0,70,0,0,339,3136,0,3243,1390,484,387,381,304,-7,1,1043,202,ND
France,Donnees temps reel,2025-07-01,02:45,41230,40950,41550,69,0,3523,36781,1316,0,5184,-555,1074,-6159,43,940,-350,-3423,-1257,-1868,0,70,0,0,340,3184,0,3276,1424,485,386,384,304,-3,1,1105,211,ND
France,Donnees temps reel,2025-07-01,03:00,40650,40300,40900,69,0,3567,36803,1300,0,4975,-553,1075,-6587,44,879,-350,-3743,-1824,-2535,0,70,0,0,340,3228,0,3243,1283,449,389,382,304,-4,7,1090,210,ND
France,Donnees temps reel,2025-07-01,03:15,40605,39950,40650,68,0,3483,36852,1251,0,5550,-555,1075,-7113,43,879,-350,-3743,-1824,-2598,0,70,0,0,339,3144,0,3215,1534,801,390,381,304,-6,0,1040,212,ND
France,Donnees temps reel,2025-07-01,03:30,40135,39600,40400,69,0,3332,36793,1240,0,5256,-554,1074,-7071,42,879,-350,-3743,-1824,-2547,0,70,0,0,341,2991,0,3235,1340,680,390,381,304,-3,1,1068,173,ND
France,Donnees temps reel,2025-07-01,03:45,39747,39300,39900,69,0,3467,36814,1287,0,5228,-718,1065,-7462,43,879,-350,-3743,-1824,-2802,0,70,0,0,340,3128,0,3255,1317,656,379,382,304,-3,2,1079,208,ND
France,Donnees temps reel,2025-07-01,04:00,39397,39000,39400,69,0,3364,36810,1361,0,5146,-717,1059,-7687,42,945,-1100,-3743,-1711,-3370,0,70,0,0,339,3026,0,3240,1299,607,375,380,304,-7,0,1105,256,ND
France,Donnees temps reel,2025-07-01,04:15,39138,39000,39350,69,0,3534,36836,1427,0,5398,-681,1066,-8544,43,945,-1100,-3739,-1711,-3367,0,70,0,0,339,3195,0,3250,1544,604,378,384,304,0,34,1112,315,ND
France,Donnees temps reel,2025-07-01,04:30,39232,39000,39300,69,0,3455,36798,1469,0,5325,-681,1072,-8265,43,945,-1100,-3743,-1711,-3395,0,70,0,0,341,3115,0,3240,1485,600,382,385,304,-9,0,1154,315,ND
France,Donnees temps reel,2025-07-01,04:45,39239,39250,39550,69,0,3378,36917,1428,0,5348,-681,1075,-8288,42,945,-1100,-3743,-1711,-3425,0,70,0,0,340,3039,0,3349,1399,600,385,386,304,-7,0,1169,259,ND
France,Donnees temps reel,2025-07-01,05:00,39696,39500,39800,69,0,3235,36920,1364,0,5283,-683,1071,-7552,41,1250,-1100,-3687,-1427,-3262,0,70,0,0,340,2896,0,3331,1393,559,382,385,304,-12,0,1162,203,ND
France,Donnees temps reel,2025-07-01,05:15,40437,40250,40200,69,0,3195,36923,1345,0,5687,-13,1066,-7823,40,1250,-1100,-3691,-1427,-3314,0,70,0,0,339,2856,0,3426,1502,759,377,385,304,-13,1,1184,161,ND
France,Donnees temps reel,2025-07-01,05:30,40519,41000,40600,69,0,3290,36962,1370,0,5836,-13,1073,-8057,41,1250,-1100,-3690,-1427,-3367,0,70,0,0,340,2951,0,3433,1518,885,384,385,304,-10,0,1173,197,ND
France,Donnees temps reel,2025-07-01,05:45,41096,41500,41150,69,0,3407,37007,1419,248,6182,-13,1071,-8285,41,1250,-1100,-3353,-1427,-3599,0,70,0,0,339,3068,0,3515,1709,958,382,385,304,-9,0,1179,239,ND
France,Donnees temps reel,2025-07-01,06:00,41732,42000,41700,69,0,3514,37027,1443,253,5975,-13,1066,-7574,42,1145,-1100,-2916,-1077,-1416,0,70,0,0,340,3175,0,3482,1478,1016,375,387,304,-28,0,1220,223,ND
France,Donnees temps reel,2025-07-01,06:15,42878,42900,42650,69,0,3729,37090,1493,426,5993,-13,1062,-6957,44,1145,-1100,-2101,-1077,-2251,0,70,0,0,340,3390,0,3582,1440,971,373,385,304,-13,1,1281,212,ND
France,Donnees temps reel,2025-07-01,06:30,43643,43800,43600,69,0,3766,37137,1549,610,5571,-13,1062,-6089,44,1145,-1100,-2280,-1077,-2219,0,70,0,0,340,3426,0,3527,1224,820,378,380,304,-18,0,1272,277,ND
France,Donnees temps reel,2025-07-01,06:45,44444,44700,44350,69,0,3792,37146,1525,815,5953,-13,1067,-5890,44,1145,-1100,-2035,-1077,-1721,0,70,0,0,341,3451,0,3561,1385,1007,379,384,304,-19,0,1285,240,ND
France,Donnees temps reel,2025-07-01,07:00,45131,45600,45100,69,0,3708,37104,1551,1063,6216,-13,1065,-5619,43,251,-1100,-869,-356,-2544,0,70,0,0,341,3367,0,3543,1660,1014,381,380,304,-13,0,1295,256,ND
France,Donnees temps reel,2025-07-01,07:15,46456,46750,46300,68,0,3724,37136,1702,1535,6692,-13,1067,-5442,42,251,-1100,-1066,-356,-2096,0,70,0,0,339,3386,0,3556,1654,1482,376,387,304,-13,0,1317,385,ND
France,Donnees temps reel,2025-07-01,07:30,47510,47900,47500,69,0,3808,37139,1611,2107,6553,-13,1069,-4826,42,251,-1000,-1730,-356,-915,0,70,0,0,340,3469,0,3565,1469,1519,376,389,304,-6,0,1313,297,ND
France,Donnees temps reel,2025-07-01,07:45,48233,48750,48250,69,0,3851,37174,1470,2728,6401,-13,1066,-4495,42,251,-1080,-2257,-356,58,0,70,0,0,340,3511,0,3557,1451,1394,376,386,304,-19,0,1288,182,ND
France,Donnees temps reel,2025-07-01,08:00,48973,49600,49000,69,0,3633,37226,1373,3471,6463,-13,1067,-4312,40,-728,-209,-2135,650,-1073,0,70,0,0,341,3292,0,3615,1332,1516,378,385,304,-4,0,1242,131,ND
France,Donnees temps reel,2025-07-01,08:15,49995,50550,50000,69,0,3538,37262,1280,4413,6210,-14,1060,-3821,39,-728,-764,-2780,650,149,0,70,0,0,339,3200,0,3579,1294,1337,373,383,304,-4,2,1213,67,ND
France,Donnees temps reel,2025-07-01,08:30,50865,51500,51000,69,0,3491,37275,1155,5463,5961,-13,1058,-3587,38,-728,-937,-3469,608,1396,0,70,0,0,340,3151,0,3499,1354,1108,373,380,304,-7,2,1099,56,ND
France,Donnees temps reel,2025-07-01,08:45,51880,52100,51700,69,0,3394,37097,983,6513,5428,-14,1062,-2650,37,-728,-435,-3489,608,942,0,70,0,0,342,3053,0,3348,1188,892,375,384,304,-4,2,948,35,ND
France,Donnees temps reel,2025-07-01,09:00,52345,52700,52400,69,0,3261,37087,887,7507,5263,-13,1066,-2786,36,-2089,595,-2805,-73,991,0,70,0,0,343,2919,0,3370,1072,821,377,385,304,0,5,856,31,ND
France,Donnees temps reel,2025-07-01,09:15,53187,53450,53000,69,0,3304,37221,838,8568,5577,-23,1058,-3425,35,-2089,-610,-2813,-73,2096,0,70,0,0,342,2962,0,3377,1271,929,369,385,304,-5,5,818,20,ND
France,Donnees temps reel,2025-07-01,09:30,53987,54200,53600,69,0,3309,37178,797,9672,5073,-24,1067,-3141,35,-2089,-613,-2813,-106,2519,0,70,0,0,342,2968,0,3358,1209,506,377,387,304,-13,0,764,33,ND
France,Donnees temps reel,2025-07-01,09:45,54225,54750,54100,69,0,3144,37247,801,10735,4544,-24,1060,-3337,33,-2089,-853,-2813,-106,2658,0,70,0,0,339,2805,0,3280,757,507,374,382,304,-12,0,728,73,ND
France,Donnees temps reel,2025-07-01,10:00,54645,55300,54600,69,0,2844,37180,828,11701,4273,-710,1060,-2587,31,-2836,1100,-2423,149,1784,0,70,0,0,326,2518,0,3248,578,447,374,382,304,-12,0,747,80,ND
France,Donnees temps reel,2025-07-01,10:15,54977,55600,54850,69,0,2671,37259,852,12601,4074,-708,1058,-2882,29,-2836,480,-2557,149,2999,0,70,0,0,311,2360,0,3128,542,404,374,379,304,-16,0,773,78,ND
France,Donnees temps reel,2025-07-01,10:30,55140,55900,55100,69,0,2226,37208,842,13395,4091,-884,1057,-2812,26,-2836,362,-2636,150,3681,0,70,0,0,310,1916,0,3121,560,410,368,385,304,-51,0,792,50,ND
France,Donnees temps reel,2025-07-01,10:45,55715,56450,55700,69,0,1997,37186,864,14205,3793,-1044,1055,-2357,24,-2836,16,-2636,150,3898,0,70,0,0,310,1687,0,3071,489,233,371,380,304,-51,0,798,66,ND
France,Donnees temps reel,2025-07-01,11:00,56334,57000,56300,69,0,1765,37443,864,15148,3721,-1043,1059,-2679,22,-2521,638,-2339,-2024,3460,0,70,0,0,311,1454,0,2990,498,233,374,381,304,-14,0,807,58,ND
France,Donnees temps reel,2025-07-01,11:15,56521,57250,56550,69,0,1946,37679,854,15713,3962,-1601,1058,-3166,23,-2521,-6,-2590,-2024,4310,0,70,0,0,311,1636,0,2921,692,349,371,384,304,-2,7,812,42,ND
France,Donnees temps reel,2025-07-01,11:30,56812,57500,56800,68,0,1755,37541,894,16147,3851,-1603,1056,-2890,22,-2521,-466,-2609,-1971,5089,0,70,0,0,310,1446,0,2878,659,314,370,383,304,-8,1,830,64,ND
France,Donnees temps reel,2025-07-01,11:45,57162,58100,57400,69,0,1646,37295,957,16626,3794,-1601,1053,-2669,21,-2521,-725,-2408,-1971,5084,0,70,0,0,310,1336,0,2868,621,306,370,378,304,-8,1,861,96,ND
France,Donnees temps reel,2025-07-01,12:00,57721,58700,58000,70,0,1645,37356,963,17222,3781,-1599,1055,-2760,21,-2964,-1100,-2252,-1573,5677,0,70,0,0,311,1334,0,2840,636,306,373,378,304,-10,1,896,67,ND
France,Donnees temps reel,2025-07-01,12:15,57949,58500,57800,69,0,1410,37378,1009,17621,3571,-1825,1049,-2341,19,-2964,-1100,-2261,-1573,5786,0,70,0,0,309,1102,0,2778,629,164,368,378,304,-2,11,916,94,ND
France,Donnees temps reel,2025-07-01,12:30,58250,58300,57600,70,0,1398,37520,1059,17887,3630,-2049,1052,-2330,19,-2964,-1100,-2261,-1536,5914,0,70,0,0,311,1087,0,2827,642,161,371,377,304,0,16,957,102,ND
France,Donnees temps reel,2025-07-01,12:45,58638,58950,58300,70,0,1669,37674,1064,18154,3639,-2065,1053,-2633,20,-2964,-1100,-2261,-1536,5787,0,70,0,0,310,1360,0,2831,645,163,374,375,304,-1,14,979,86,ND
France,Donnees temps reel,2025-07-01,13:00,58489,59600,59000,70,0,1487,37501,1072,18401,3587,-2071,1050,-2617,19,-3014,-1100,-2017,-1596,5321,0,70,0,0,309,1178,0,2821,601,165,367,380,304,-2,11,1001,71,ND
France,Donnees temps reel,2025-07-01,13:15,58265,59150,58450,68,0,1627,37657,1088,18545,3577,-2280,1039,-3047,20,-3014,-1100,-2142,-1596,5479,0,70,0,0,307,1321,0,2775,639,164,372,364,304,-8,0,1035,53,ND
France,Donnees temps reel,2025-07-01,13:30,57914,58700,57900,69,0,1335,37422,1098,18456,3547,-2281,1017,-2746,18,-3014,-1100,-2219,-1596,5534,0,70,0,0,306,1030,0,2793,595,159,350,363,304,-4,0,1045,54,ND
France,Donnees temps reel,2025-07-01,13:45,57935,58950,58300,69,0,1366,37336,1154,18523,3589,-2272,1020,-2842,18,-3014,-1100,-2261,-1596,5554,0,70,0,0,306,1061,0,2779,646,164,352,364,304,-9,0,1096,58,ND
France,Donnees temps reel,2025-07-01,14:00,58259,59200,58700,69,0,1449,37442,1223,18521,3600,-2268,1028,-2801,19,-2914,-1300,-2141,-1609,5243,0,70,0,0,307,1143,0,2772,668,160,349,375,304,-5,0,1156,67,ND
France,Donnees temps reel,2025-07-01,14:15,58530,58950,58450,69,0,1669,37785,1323,18361,3690,-2253,1028,-3139,20,-2914,-1300,-2110,-1609,5183,0,70,0,0,307,1362,0,2717,703,269,351,372,304,-5,2,1272,51,ND
France,Donnees temps reel,2025-07-01,14:30,58318,58700,58200,69,0,1355,37583,1278,18267,3744,-2248,1034,-2750,18,-2914,-1300,-2076,-1614,5053,0,70,0,0,307,1049,0,2701,769,273,356,374,304,-15,0,1228,50,ND
France,Donnees temps reel,2025-07-01,14:45,57727,58550,57850,69,0,1454,37376,1347,17988,3657,-1916,1035,-3275,19,-2914,-1300,-1990,-1614,4636,0,70,0,0,307,1148,0,2707,782,168,357,374,304,-9,0,1277,70,ND
France,Donnees temps reel,2025-07-01,15:00,57587,58400,57500,69,0,1498,37358,1389,17828,3649,-1917,1033,-3308,19,-1918,-1300,-2663,-2182,4550,0,70,0,0,308,1190,0,2695,786,169,357,372,304,-12,0,1296,93,ND
